Magnet,Lockin_U,Lockin_Uh
"0	    ",2.0272e-05,3.5e-07
0.001	,2.029e-05,3.5e-07
0.002	,2.0296e-05,6e-07
0.003	,2.0282e-05,7.5e-07
0.004	,2.0282e-05,1.2e-06
0.005	,2.0296e-05,1.35e-06
0.006	,2.032e-05,1.65e-06
0.007	,2.029e-05,1.95e-06
0.008	,2.0276e-05,2.3e-06
0.009	,2.0302e-05,2.45e-06
0.01	,2.0282e-05,2.7e-06
0.011	,2.0288e-05,2.9e-06
0.012	,2.0308e-05,3.15e-06
0.013	,2.0352e-05,3.35e-06
0.014	,2.0344e-05,3.55e-06
0.015	,2.031e-05,3.85e-06
0.016	,2.0336e-05,4.1e-06
0.017	,2.0328e-05,4.35e-06
0.018	,2.032e-05,4.7e-06
0.019	,2.0332e-05,4.85e-06
0.02	,2.0348e-05,5.1e-06
0.021	,2.0336e-05,5.35e-06
0.022	,2.0346e-05,5.5e-06
0.023	,2.037e-05,5.9e-06
0.024	,2.0362e-05,6.2e-06
0.025	,2.0358e-05,6.4e-06
0.026	,2.0338e-05,6.6e-06
0.027	,2.0282e-05,6.9e-06
0.028	,2.0296e-05,7.2e-06
0.029	,2.0334e-05,7.35e-06
0.03	,2.0302e-05,7.7e-06
0.031	,2.0302e-05,7.8e-06
0.032	,2.0318e-05,8.2e-06
0.033	,2.0318e-05,8.35e-06
0.034	,2.0356e-05,8.7e-06
0.035	,2.04e-05,9.05e-06
0.036	,2.0386e-05,9.3e-06
0.037	,2.036e-05,9.45e-06
0.038	,2.0368e-05,9.6e-06
0.039	,2.04e-05,1e-05
0.04	,2.0438e-05,1.02e-05
0.041	,2.0412e-05,1.045e-05
0.042	,2.0384e-05,1.075e-05
0.043	,2.0414e-05,1.1e-05
0.044	,2.043e-05,1.13e-05
0.045	,2.044e-05,1.15e-05
0.046	,2.0436e-05,1.17e-05
0.047	,2.0412e-05,1.21e-05
0.048	,2.044e-05,1.225e-05
0.049	,2.048e-05,1.255e-05
0.05	,2.0488e-05,1.29e-05
0.051	,2.0466e-05,1.325e-05
0.052	,2.0454e-05,1.345e-05
0.053	,2.0418e-05,1.36e-05
0.054	,2.0418e-05,1.38e-05
0.055	,2.0482e-05,1.415e-05
0.056	,2.0494e-05,1.44e-05
0.057	,2.0522e-05,1.46e-05
0.058	,2.0542e-05,1.495e-05
0.059	,2.0536e-05,1.525e-05
0.06	,2.0556e-05,1.55e-05
0.061	,2.056e-05,1.58e-05
0.062	,2.057e-05,1.6e-05
0.063	,2.0574e-05,1.63e-05
0.064	,2.0576e-05,1.645e-05
0.065	,2.0584e-05,1.675e-05
0.066	,2.0618e-05,1.715e-05
0.067	,2.0642e-05,1.72e-05
0.068	,2.0654e-05,1.75e-05
0.069	,2.063e-05,1.775e-05
0.07	,2.0612e-05,1.81e-05
0.071	,2.0586e-05,1.835e-05
0.072	,2.0584e-05,1.87e-05
0.073	,2.062e-05,1.885e-05
0.074	,2.0618e-05,1.925e-05
0.075	,2.0582e-05,1.95e-05
0.076	,2.0606e-05,1.965e-05
0.077	,2.0674e-05,1.985e-05
0.078	,2.0704e-05,2.015e-05
0.079	,2.0698e-05,2.045e-05
0.08	,2.069e-05,2.075e-05
0.081	,2.0728e-05,2.105e-05
0.082	,2.0762e-05,2.12e-05
0.083	,2.0838e-05,2.15e-05
0.084	,2.0918e-05,2.165e-05
0.085	,2.0918e-05,2.19e-05
0.086	,2.088e-05,2.23e-05
0.087	,2.0886e-05,2.24e-05
0.088	,2.093e-05,2.29e-05
0.089	,2.0892e-05,2.3e-05
0.09	,2.084e-05,2.34e-05
0.091	,2.0818e-05,2.35e-05
0.092	,2.078e-05,2.405e-05
0.093	,2.0726e-05,2.415e-05
0.094	,2.0694e-05,2.445e-05
0.095	,2.0662e-05,2.465e-05
0.096	,2.0634e-05,2.49e-05
0.097	,2.0624e-05,2.52e-05
0.098	,2.0628e-05,2.56e-05
0.099	,2.061e-05,2.575e-05
"0.1	    ",2.0614e-05,2.59e-05
0.101	,2.0666e-05,2.62e-05
0.102	,2.0646e-05,2.645e-05
0.103	,2.0662e-05,2.68e-05
0.104	,2.0734e-05,2.705e-05
0.105	,2.0764e-05,2.745e-05
0.106	,2.0762e-05,2.77e-05
0.107	,2.0748e-05,2.78e-05
0.108	,2.0738e-05,2.82e-05
0.109	,2.0782e-05,2.84e-05
0.11	,2.083e-05,2.86e-05
0.111	,2.089e-05,2.885e-05
0.112	,2.0962e-05,2.925e-05
0.113	,2.1026e-05,2.95e-05
0.114	,2.1046e-05,2.965e-05
0.115	,2.1058e-05,3e-05
0.116	,2.1122e-05,3.02e-05
0.117	,2.1212e-05,3.055e-05
0.118	,2.13e-05,3.085e-05
0.119	,2.1386e-05,3.105e-05
0.12	,2.146e-05,3.12e-05
0.121	,2.1522e-05,3.165e-05
0.122	,2.1598e-05,3.19e-05
0.123	,2.1642e-05,3.22e-05
0.124	,2.1664e-05,3.245e-05
0.125	,2.1684e-05,3.265e-05
0.126	,2.1662e-05,3.295e-05
0.127	,2.1664e-05,3.33e-05
0.128	,2.163e-05,3.355e-05
0.129	,2.1632e-05,3.385e-05
0.13	,2.1616e-05,3.41e-05
0.131	,2.1556e-05,3.425e-05
0.132	,2.1498e-05,3.47e-05
0.133	,2.145e-05,3.49e-05
0.134	,2.1362e-05,3.52e-05
0.135	,2.1258e-05,3.54e-05
0.136	,2.1176e-05,3.565e-05
0.137	,2.1134e-05,3.595e-05
0.138	,2.1082e-05,3.615e-05
0.139	,2.1014e-05,3.655e-05
0.14	,2.0922e-05,3.67e-05
0.141	,2.084e-05,3.695e-05
0.142	,2.0782e-05,3.735e-05
0.143	,2.071e-05,3.765e-05
0.144	,2.0696e-05,3.795e-05
0.145	,2.0702e-05,3.815e-05
0.146	,2.0652e-05,3.84e-05
0.147	,2.0608e-05,3.87e-05
0.148	,2.056e-05,3.9e-05
0.149	,2.053e-05,3.92e-05
0.15	,2.0522e-05,3.945e-05
0.151	,2.0486e-05,3.965e-05
0.152	,2.0422e-05,3.995e-05
0.153	,2.043e-05,4.02e-05
0.154	,2.045e-05,4.05e-05
0.155	,2.0472e-05,4.085e-05
0.156	,2.0482e-05,4.12e-05
0.157	,2.0488e-05,4.135e-05
0.158	,2.0514e-05,4.17e-05
0.159	,2.0516e-05,4.175e-05
0.16	,2.053e-05,4.215e-05
0.161	,2.0546e-05,4.245e-05
0.162	,2.0536e-05,4.27e-05
0.163	,2.0534e-05,4.305e-05
0.164	,2.0598e-05,4.32e-05
0.165	,2.0654e-05,4.36e-05
0.166	,2.0678e-05,4.38e-05
0.167	,2.0682e-05,4.415e-05
0.168	,2.0698e-05,4.44e-05
0.169	,2.0722e-05,4.465e-05
0.17	,2.0778e-05,4.495e-05
0.171	,2.08e-05,4.525e-05
0.172	,2.0782e-05,4.54e-05
0.173	,2.0824e-05,4.575e-05
0.174	,2.0862e-05,4.595e-05
0.175	,2.0916e-05,4.63e-05
0.176	,2.0976e-05,4.655e-05
0.177	,2.1e-05,4.68e-05
0.178	,2.101e-05,4.705e-05
0.179	,2.1062e-05,4.745e-05
0.18	,2.1122e-05,4.75e-05
0.181	,2.1114e-05,4.795e-05
0.182	,2.1158e-05,4.82e-05
0.183	,2.1266e-05,4.84e-05
0.184	,2.134e-05,4.865e-05
0.185	,2.1388e-05,4.885e-05
0.186	,2.1424e-05,4.915e-05
0.187	,2.145e-05,4.945e-05
0.188	,2.149e-05,4.99e-05
0.189	,2.1548e-05,4.995e-05
0.19	,2.1598e-05,5.035e-05
0.191	,2.1662e-05,5.05e-05
0.192	,2.1708e-05,5.08e-05
0.193	,2.1784e-05,5.11e-05
0.194	,2.1892e-05,5.14e-05
0.195	,2.1936e-05,5.165e-05
0.196	,2.2042e-05,5.205e-05
0.197	,2.2098e-05,5.225e-05
0.198	,2.213e-05,5.245e-05
0.199	,2.221e-05,5.28e-05
"0.2	    ",2.2288e-05,5.305e-05
0.201	,2.2366e-05,5.33e-05
0.202	,2.2474e-05,5.365e-05
0.203	,2.261e-05,5.385e-05
0.204	,2.2738e-05,5.41e-05
0.205	,2.28e-05,5.445e-05
0.206	,2.2922e-05,5.475e-05
0.207	,2.3066e-05,5.49e-05
0.208	,2.3164e-05,5.52e-05
0.209	,2.3306e-05,5.555e-05
0.21	,2.3428e-05,5.58e-05
0.211	,2.353e-05,5.6e-05
0.212	,2.3644e-05,5.615e-05
0.213	,2.3776e-05,5.665e-05
0.214	,2.3884e-05,5.695e-05
0.215	,2.4034e-05,5.705e-05
0.216	,2.4218e-05,5.745e-05
0.217	,2.437e-05,5.775e-05
0.218	,2.4488e-05,5.795e-05
0.219	,2.457e-05,5.825e-05
0.22	,2.47e-05,5.85e-05
0.221	,2.4886e-05,5.88e-05
0.222	,2.507e-05,5.895e-05
0.223	,2.5188e-05,5.92e-05
0.224	,2.5284e-05,5.96e-05
0.225	,2.5426e-05,5.99e-05
0.226	,2.5582e-05,6.01e-05
0.227	,2.5682e-05,6.05e-05
0.228	,2.5778e-05,6.07e-05
0.229	,2.591e-05,6.105e-05
0.23	,2.6028e-05,6.125e-05
0.231	,2.6118e-05,6.15e-05
0.232	,2.6196e-05,6.18e-05
0.233	,2.6256e-05,6.21e-05
0.234	,2.6326e-05,6.23e-05
0.235	,2.6382e-05,6.26e-05
0.236	,2.6454e-05,6.29e-05
0.237	,2.651e-05,6.315e-05
0.238	,2.6544e-05,6.33e-05
0.239	,2.6658e-05,6.37e-05
0.24	,2.671e-05,6.4e-05
0.241	,2.6732e-05,6.415e-05
0.242	,2.6764e-05,6.455e-05
0.243	,2.6752e-05,6.48e-05
0.244	,2.6758e-05,6.5e-05
0.245	,2.6776e-05,6.535e-05
0.246	,2.678e-05,6.565e-05
0.247	,2.6746e-05,6.595e-05
0.248	,2.6708e-05,6.615e-05
0.249	,2.6676e-05,6.64e-05
0.25	,2.663e-05,6.67e-05
0.251	,2.6584e-05,6.715e-05
0.252	,2.6506e-05,6.73e-05
0.253	,2.641e-05,6.75e-05
0.254	,2.637e-05,6.775e-05
0.255	,2.6322e-05,6.795e-05
0.256	,2.629e-05,6.83e-05
0.257	,2.624e-05,6.855e-05
0.258	,2.6202e-05,6.88e-05
0.259	,2.6138e-05,6.915e-05
0.26	,2.6048e-05,6.94e-05
0.261	,2.597e-05,6.965e-05
0.262	,2.593e-05,6.995e-05
0.263	,2.5902e-05,7.025e-05
0.264	,2.5838e-05,7.045e-05
0.265	,2.5726e-05,7.085e-05
0.266	,2.5596e-05,7.105e-05
0.267	,2.5532e-05,7.13e-05
0.268	,2.5472e-05,7.155e-05
0.269	,2.5446e-05,7.175e-05
0.27	,2.5432e-05,7.23e-05
0.271	,2.539e-05,7.235e-05
0.272	,2.5318e-05,7.27e-05
0.273	,2.5242e-05,7.3e-05
0.274	,2.5154e-05,7.315e-05
0.275	,2.5064e-05,7.35e-05
0.276	,2.5002e-05,7.375e-05
0.277	,2.4992e-05,7.405e-05
0.278	,2.5002e-05,7.425e-05
0.279	,2.488e-05,7.465e-05
0.28	,2.4736e-05,7.485e-05
0.281	,2.4608e-05,7.53e-05
0.282	,2.4524e-05,7.54e-05
0.283	,2.4494e-05,7.57e-05
0.284	,2.445e-05,7.595e-05
0.285	,2.4406e-05,7.635e-05
0.286	,2.4358e-05,7.65e-05
0.287	,2.4276e-05,7.68e-05
0.288	,2.4134e-05,7.72e-05
0.289	,2.4006e-05,7.745e-05
0.29	,2.397e-05,7.755e-05
0.291	,2.3922e-05,7.78e-05
0.292	,2.3868e-05,7.82e-05
0.293	,2.3884e-05,7.84e-05
0.294	,2.3912e-05,7.865e-05
0.295	,2.388e-05,7.9e-05
0.296	,2.38e-05,7.93e-05
0.297	,2.3736e-05,7.95e-05
0.298	,2.3626e-05,7.975e-05
0.299	,2.351e-05,8.01e-05
"0.3	    ",2.3476e-05,8.035e-05
0.301	,2.3482e-05,8.06e-05
0.302	,2.3512e-05,8.085e-05
0.303	,2.3578e-05,8.12e-05
0.304	,2.3578e-05,8.15e-05
0.305	,2.3494e-05,8.18e-05
0.306	,2.3394e-05,8.2e-05
0.307	,2.3306e-05,8.23e-05
0.308	,2.3292e-05,8.245e-05
0.309	,2.3254e-05,8.28e-05
0.31	,2.3248e-05,8.295e-05
0.311	,2.331e-05,8.325e-05
0.312	,2.3352e-05,8.37e-05
0.313	,2.3406e-05,8.395e-05
0.314	,2.3388e-05,8.415e-05
0.315	,2.3308e-05,8.44e-05
0.316	,2.3204e-05,8.475e-05
0.317	,2.308e-05,8.5e-05
0.318	,2.2992e-05,8.535e-05
0.319	,2.2954e-05,8.55e-05
0.32	,2.2992e-05,8.575e-05
0.321	,2.3052e-05,8.6e-05
0.322	,2.312e-05,8.635e-05
0.323	,2.3158e-05,8.655e-05
0.324	,2.3222e-05,8.69e-05
0.325	,2.3224e-05,8.715e-05
0.326	,2.3168e-05,8.74e-05
0.327	,2.3076e-05,8.755e-05
0.328	,2.2924e-05,8.805e-05
0.329	,2.2792e-05,8.825e-05
0.33	,2.2758e-05,8.84e-05
0.331	,2.2816e-05,8.875e-05
0.332	,2.291e-05,8.905e-05
0.333	,2.3002e-05,8.925e-05
0.334	,2.3106e-05,8.96e-05
0.335	,2.3162e-05,9e-05
0.336	,2.309e-05,9.015e-05
0.337	,2.2986e-05,9.035e-05
0.338	,2.2896e-05,9.07e-05
0.339	,2.274e-05,9.1e-05
0.34	,2.2614e-05,9.13e-05
0.341	,2.258e-05,9.15e-05
0.342	,2.2576e-05,9.18e-05
0.343	,2.2646e-05,9.205e-05
0.344	,2.2766e-05,9.22e-05
0.345	,2.2872e-05,9.255e-05
0.346	,2.2972e-05,9.285e-05
0.347	,2.3038e-05,9.335e-05
0.348	,2.2966e-05,9.345e-05
0.349	,2.2868e-05,9.37e-05
0.35	,2.2768e-05,9.4e-05
0.351	,2.2588e-05,9.43e-05
0.352	,2.242e-05,9.46e-05
0.353	,2.2364e-05,9.48e-05
0.354	,2.2402e-05,9.495e-05
0.355	,2.2476e-05,9.54e-05
0.356	,2.2604e-05,9.56e-05
0.357	,2.2718e-05,9.59e-05
0.358	,2.2862e-05,9.63e-05
0.359	,2.3e-05,9.64e-05
0.36	,2.3036e-05,9.675e-05
0.361	,2.2992e-05,9.695e-05
0.362	,2.29e-05,9.72e-05
0.363	,2.2728e-05,9.745e-05
0.364	,2.254e-05,9.785e-05
0.365	,2.2348e-05,9.815e-05
0.366	,2.223e-05,9.835e-05
0.367	,2.2242e-05,9.87e-05
0.368	,2.2368e-05,9.89e-05
0.369	,2.258e-05,9.92e-05
0.37	,2.2726e-05,9.96e-05
0.371	,2.2838e-05,9.975e-05
0.372	,2.3014e-05,0.0001
0.373	,2.3142e-05,0.0001001
0.374	,2.3124e-05,0.0001005
0.375	,2.3024e-05,0.00010075
0.376	,2.29e-05,0.00010115
0.377	,2.2736e-05,0.00010135
0.378	,2.251e-05,0.0001017
0.379	,2.2326e-05,0.000102
0.38	,2.224e-05,0.0001022
0.381	,2.222e-05,0.0001025
0.382	,2.2268e-05,0.00010275
0.383	,2.2384e-05,0.00010285
0.384	,2.257e-05,0.00010315
0.385	,2.2786e-05,0.00010345
0.386	,2.3004e-05,0.0001039
0.387	,2.3182e-05,0.0001042
0.388	,2.3262e-05,0.0001044
0.389	,2.3282e-05,0.0001046
0.39	,2.3214e-05,0.000105
0.391	,2.3078e-05,0.00010515
0.392	,2.2912e-05,0.00010565
0.393	,2.2688e-05,0.0001057
0.394	,2.2462e-05,0.0001059
0.395	,2.23e-05,0.0001062
0.396	,2.2244e-05,0.0001065
0.397	,2.2262e-05,0.00010695
0.398	,2.2312e-05,0.00010705
0.399	,2.251e-05,0.00010735
"0.4    ",2.278e-05,0.0001077
