Magnet,Lockin_U,Lockin_Uh
0	    ,0.0001195	,7.5e-06
0.02	,0.00011455	,1.8e-05
0.04	,0.0001094	,3.2e-05
0.06	,0.00010615	,4.35e-05
0.08	,0.00010245	,5.9e-05
0.1	    ,9.995e-05	,7.3e-05
0.12	,9.805e-05	,8.7e-05
0.14	,9.61e-05	,0.0001025
0.16	,9.51e-05	,0.000116
0.18	,9.405e-05	,0.000131
0.2	    ,9.305e-05	,0.000146
0.22	,9.26e-05	,0.0001625
0.24	,9.195e-05	,0.0001785
0.26	,9.21e-05	,0.0001915
0.28	,9.19e-05	,0.0002075
0.3	    ,9.19e-05	,0.000221
0.32	,9.13e-05	,0.000238
0.34	,9.205e-05	,0.0002535
0.36	,9.215e-05	,0.000267
0.38	,9.3e-05	,0.0002815
0.4	    ,9.345e-05	,0.0002975
0.42	,9.425e-05	,0.000314
0.44	,9.49e-05	,0.0003275
0.46	,9.645e-05	,0.000342
0.48	,9.725e-05	,0.0003575
0.5	    ,9.845e-05	,0.0003725
0.52	,0.00010015	,0.000388
0.54	,0.00010195	,0.0004045
0.56	,0.00010315	,0.0004185
0.58	,0.000104	,0.000434
0.6	    ,0.00010655	,0.0004495
0.62	,0.00010785	,0.0004655
0.64	,0.0001101	,0.00048
0.66	,0.00011175	,0.000494
0.68	,0.0001133	,0.00051
0.7	    ,0.0001149	,0.000526
0.72	,0.00011745	,0.0005395
0.74	,0.00011995	,0.000555
0.76	,0.00012265	,0.0005705
0.78	,0.0001253	,0.0005865
0.8	    ,0.0001267	,0.0006015
0.82	,0.0001271	,0.0006175
0.84	,0.0001273	,0.000634
0.86	,0.0001281	,0.0006475
0.88	,0.00013055	,0.0006615
0.9	    ,0.00013525	,0.0006745
0.92	,0.00014175	,0.000689
0.94	,0.0001465	,0.0007035
0.96	,0.000152	,0.0007195
0.98	,0.0001554	,0.000737
1	    ,0.00015685	,0.0007565
1.02	,0.00015555	,0.000776
1.04	,0.000152	,0.0007935
1.06	,0.00014685	,0.000812
1.08	,0.00014205	,0.0008265
1.1	    ,0.0001378	,0.000841
1.12	,0.0001352	,0.000853
1.14	,0.00013555	,0.0008645
1.16	,0.00013805	,0.000874
1.18	,0.00014395	,0.000883
1.2	    ,0.0001541	,0.0008925
1.22	,0.0001658	,0.0009025
1.24	,0.0001798	,0.0009145
1.26	,0.00019265	,0.000926
1.28	,0.0002079	,0.0009425
1.3	    ,0.00022025	,0.0009585
1.32	,0.00023235	,0.0009805
1.34	,0.00024105	,0.0009995
1.36	,0.00024885	,0.0010245
1.38	,0.00025245	,0.001046
1.4	    ,0.00025335	,0.0010715
1.42	,0.00025085	,0.0010965
1.44	,0.0002445	,0.0011205
1.46	,0.00023395	,0.0011475
1.48	,0.0002218	,0.0011695
1.5	    ,0.0002083	,0.00119
1.52	,0.000191	,0.0012115
1.54	,0.0001715	,0.0012315
1.56	,0.00015605	,0.0012465
1.58	,0.0001393	,0.0012605
1.6	    ,0.0001266	,0.001271
1.62	,0.00011365	,0.0012805
1.64	,0.00010535	,0.0012865
1.66	,9.88e-05	,0.0012915
1.68	,9.485e-05	,0.001295
1.7	    ,9.34e-05	,0.001298
1.72	,9.425e-05	,0.0013
1.74	,9.77e-05	,0.001302
1.76	,0.00010345	,0.0013035
1.78	,0.00011205	,0.001306
1.8	    ,0.0001243	,0.0013075
1.82	,0.0001411	,0.0013105
1.84	,0.00016	,0.001314
1.86	,0.0001793	,0.0013185
1.88	,0.00020435	,0.0013235
1.9	    ,0.00022965	,0.0013315
