single,double
25,107178
14,108331
18,108517
19,108249
30,109821
19,109190
23,108896
15,107938
20,107518
30,107871
24,108022
15,107316
18,107249
17,107556
21,107936
21,107764
23,108070
30,107329
20,106809
16,107122
17,105724
16,106208
25,106454
23,106391
24,105659
27,105991
27,105659
25,105431
30,105264
23,104604
26,104538
26,104594
39,104330
43,104114
41,104554
47,104291
52,103431
43,103339
53,103061
49,102169
46,100860
75,99713
56,99104
55,99780
49,99619
55,99197
54,99284
52,99270
58,98284
60,97442
49,97058
39,96504
46,95799
53,95584
44,95643
30,95875
48,95897
53,95391
32,96172
35,96140
34,95517
33,93405
25,93452
